{'seed': 1234, 'data_path': 'data_1_1/amazon_dataset_1_1.pkl', 'wrap': 'MetaLearingModel', 'model': 'DIN', 'emb_dim': 128, 'layer_1_dim': 80, 'layer_2_dim': 40, 'optim': 'SGD', 'aux_layer_1_dim': 80, 'aux_layer_2_dim': 40, 'lr': 1, 'weight_decay': 0, 'lr_scheduler': 'MultiStepLR', 'pos_emb_dim': 2, 'num_head': 2, 'mh_drop_rate': 0, 'milestones': 42000, 'gamma': 0.1, 'grad_max_norm': 5, 'fine_tune_lr': 1e-05, 'nesterov': 'True', 'momentum': 0.9, 'train_batch_size': 256, 'test_batch_size': 512, 'epoch_num': 30, 'model_dir': 'saved_model', 'inner_lr': 0.01, 'inner_steps': 1, 'mu': 0.4}
Temp-Batch-loss:0.8396636334846426, Val:0.8131239697262969, Test:0.7914625544103043
Temp-Batch-loss:0.7420964763085788, Val:0.8337158962324935, Test:0.8125653122810579
Temp-Batch-loss:0.7121980219044795, Val:0.8399115016728191, Test:0.818454427166696
Temp-Batch-loss:0.6969438210975104, Val:0.8417708317540145, Test:0.8184003952512626
Temp-Batch-loss:0.6876515446326977, Val:0.8419850888627205, Test:0.8187419796835448
Temp-Batch-loss:0.6813458869358324, Val:0.8425591041565155, Test:0.8177795322841948
Temp-Batch-loss:0.6770753148145134, Val:0.8432236078824892, Test:0.8184310913560845
Temp-Batch-loss:0.6667552213462907, Val:0.8450411260661556, Test:0.8208829845016324
Temp-Batch-loss:0.6615647882248364, Val:0.8449927764720473, Test:0.8210577052041228
Temp-Batch-loss:0.6608918008412676, Val:0.8452369556508252, Test:0.8208425892845477
Temp-Batch-loss:0.6597197111434193, Val:0.8449611757791095, Test:0.8207262555572137
Temp-Batch-loss:0.6584811980395273, Val:0.8457740157994431, Test:0.8219146973328548
Temp-Batch-loss:0.6573003567042338, Val:0.8455245659231461, Test:0.8215859370295718
Temp-Batch-loss:0.6562008570655739, Val:0.8453866289565057, Test:0.8214744699900164
Temp-Batch-loss:0.6552783956979918, Val:0.8456205322111366, Test:0.8216512614397432
Temp-Batch-loss:0.654453885464422, Val:0.8456111478754818, Test:0.8215013736402679
Temp-Batch-loss:0.6536303790719907, Val:0.8454190333047655, Test:0.8215575188302789
Temp-Batch-loss:0.6525407272259327, Val:0.8454815327109497, Test:0.8218552161607819
Temp-Batch-loss:0.6513636663442542, Val:0.8453655288955, Test:0.8217545911789955
Temp-Batch-loss:0.6503580730310645, Val:0.8450627162129833, Test:0.8212704643847353
Temp-Batch-loss:0.649597185199085, Val:0.8447355641488884, Test:0.8207618902191636
Temp-Batch-loss:0.6480422500530407, Val:0.8449848595153698, Test:0.8213115926877548
Temp-Batch-loss:0.6477343332555514, Val:0.8449394645500702, Test:0.8211532375832377
Temp-Batch-loss:0.6467839557775292, Val:0.8444974213454788, Test:0.8208045475565195
Temp-Batch-loss:0.6455882587339997, Val:0.8441369619235338, Test:0.8202404745608093
Temp-Batch-loss:0.6445476665827907, Val:0.8440833765451821, Test:0.8200225886070852
Temp-Batch-loss:0.6438116020766685, Val:0.8441418385467393, Test:0.8200523613671908
Temp-Batch-loss:0.6431318802817407, Val:0.8439611506454509, Test:0.8200099481442013
Temp-Batch-loss:0.6423970184217157, Val:0.8439715335379319, Test:0.8207195497940679
Temp-Batch-loss:0.6411930495354202, Val:0.8437208862105626, Test:0.8201036488763056
Final Test:0.8201036488763056
model_path saved_model/MetaLearingModel_DIN_STANDALONE_STANDALONE.pth
