{'seed': 1234, 'data_path': 'data_1_1/mvlens_dataset_1_1.pkl', 'wrap': 'MetaLearingModel', 'model': 'DIN', 'emb_dim': 64, 'layer_1_dim': 80, 'layer_2_dim': 40, 'aux_layer_1_dim': 80, 'aux_layer_2_dim': 40, 'optim': 'SGD', 'lr': 1, 'weight_decay': 0.0001, 'lr_scheduler': 'MultiStepLR', 'milestones': '[17087, 61025]', 'gamma': 0.1, 'nesterov': 'True', 'momentum': 0.9, 'grad_max_norm': 5, 'fine_tune_lr': 1e-05, 'train_batch_size': 512, 'test_batch_size': 512, 'epoch_num': 30, 'model_dir': 'saved_model', 'inner_lr': 0.001, 'inner_steps': 1, 'mu': 0.001}
Temp-Batch-loss:0.5985640349349629, Val:0.7918586767027762, Test:0.7872362780141222
Temp-Batch-loss:0.4796406876607812, Val:0.8509979003113899, Test:0.8513291906056751
Temp-Batch-loss:0.4318650978966029, Val:0.8685294641682383, Test:0.8690900481338537
Temp-Batch-loss:0.4022397657275561, Val:0.8732374813604667, Test:0.8757645772115257
Temp-Batch-loss:0.3881782306551813, Val:0.8836390399543879, Test:0.8821763436910663
Temp-Batch-loss:0.38249934047430484, Val:0.8818176560238585, Test:0.8811262115696682
Temp-Batch-loss:0.37933456822553147, Val:0.8861920940967501, Test:0.8818856629095214
Temp-Batch-loss:0.37671610920508625, Val:0.8785346448620674, Test:0.8779808862549886
Temp-Batch-loss:0.3746682779579663, Val:0.8734519867549668, Test:0.8725707616990482
Temp-Batch-loss:0.37226861625097835, Val:0.8861899012104733, Test:0.8853463663874391
Temp-Batch-loss:0.3702422940105531, Val:0.8870168112144204, Test:0.8826771989167143
Temp-Batch-loss:0.36952770962243603, Val:0.8863366464190168, Test:0.8838415804131399
Temp-Batch-loss:0.3679690297568963, Val:0.8882977583220034, Test:0.8870582430595149
Temp-Batch-loss:0.36659571080347364, Val:0.8861160009429412, Test:0.8840852923117408
Temp-Batch-loss:0.3637760420199239, Val:0.8843827710407439, Test:0.8770600796017719
Temp-Batch-loss:0.36399465892557903, Val:0.8886099430946011, Test:0.8882259412964345
Temp-Batch-loss:0.36294276553735244, Val:0.8885933319810534, Test:0.8824983553352923
Temp-Batch-loss:0.3361625269010257, Val:0.9057430732204728, Test:0.9002342276654532
Temp-Batch-loss:0.2959054775092484, Val:0.9077805935046708, Test:0.9024978893469584
Temp-Batch-loss:0.28533400904939826, Val:0.9099454793649402, Test:0.9049507971141617
Temp-Batch-loss:0.2793783517075114, Val:0.9085248591070567, Test:0.9042756759571949
Temp-Batch-loss:0.2762382459478109, Val:0.9085008195912458, Test:0.904385991842463
Temp-Batch-loss:0.27295114021789657, Val:0.9082414422613043, Test:0.9027915990526731
Temp-Batch-loss:0.27114877351357647, Val:0.9084403096355423, Test:0.9046801264198939
Temp-Batch-loss:0.26915900917455, Val:0.9072011781281522, Test:0.9052650514231833
Temp-Batch-loss:0.26732074014474116, Val:0.9081953916494891, Test:0.9045457984298934
Temp-Batch-loss:0.2657054423473918, Val:0.9073189498267621, Test:0.9043051428665411
Temp-Batch-loss:0.2643413313492516, Val:0.9075432683873513, Test:0.9024572661286786
Temp-Batch-loss:0.26287236342095704, Val:0.9065742730581992, Test:0.9013524077891322
Temp-Batch-loss:0.26124789402655707, Val:0.9063593153809042, Test:0.9030901468137362
Final Test:0.9030901468137362
model_path saved_model/MetaLearingModel_DIN_STANDALONE_STANDALONE.pth
