{'seed': 1234, 'data_path': 'data_1_1/taobao_dataset_1_1.pkl', 'wrap': 'MetaLearingModel', 'model': 'DIN', 'emb_dim': 128, 'layer_1_dim': 80, 'layer_2_dim': 40, 'optim': 'SGD', 'aux_layer_1_dim': 80, 'aux_layer_2_dim': 40, 'lr': 1, 'weight_decay': 0, 'lr_scheduler': 'MultiStepLR', 'pos_emb_dim': 2, 'num_head': 2, 'mh_drop_rate': 0, 'milestones': 42000, 'gamma': 0.1, 'grad_max_norm': 5, 'fine_tune_lr': 1e-05, 'train_batch_size': 256, 'test_batch_size': 512, 'epoch_num': 30, 'model_dir': 'saved_model', 'inner_lr': 0.01, 'inner_steps': 1, 'mu': 0.4}
Temp-Batch-loss:0.8635069706458302, Val:0.8018461344352162, Test:0.8051116377494072
Temp-Batch-loss:0.7677565840231986, Val:0.8616718212185401, Test:0.8710952086152609
Temp-Batch-loss:0.7078514871919371, Val:0.8725945191863556, Test:0.880835262188598
Temp-Batch-loss:0.6881019061145908, Val:0.8780706231010704, Test:0.8864510311402484
Temp-Batch-loss:0.67672159739211, Val:0.8823799213478236, Test:0.8908350889478234
Temp-Batch-loss:0.6670482447355544, Val:0.8845615382875224, Test:0.89266243166362
Temp-Batch-loss:0.6581375563393446, Val:0.8868086801555518, Test:0.894792846483956
Temp-Batch-loss:0.6508408246755207, Val:0.8889073496143003, Test:0.8967071020644783
Temp-Batch-loss:0.6435884722702324, Val:0.8896596492734535, Test:0.8971335706332838
Temp-Batch-loss:0.6368980276132926, Val:0.8916772437275029, Test:0.8992141413501926
Temp-Batch-loss:0.6312206455602023, Val:0.8923497876077816, Test:0.9000236558028372
Temp-Batch-loss:0.6242437370526536, Val:0.8935393564508838, Test:0.9009658169200037
Temp-Batch-loss:0.6177528442130646, Val:0.8933224176849941, Test:0.9009296007653507
Temp-Batch-loss:0.6163560548436177, Val:0.8931495036265976, Test:0.9007179002160879
Temp-Batch-loss:0.6154778874686365, Val:0.8934233471236893, Test:0.9008767514109824
Temp-Batch-loss:0.6150106339992107, Val:0.8932950715357866, Test:0.9008160733846361
Temp-Batch-loss:0.6134688854872166, Val:0.8932404935388993, Test:0.9006794623707417
Temp-Batch-loss:0.6134490627695217, Val:0.893211993978663, Test:0.9007670291333034
Temp-Batch-loss:0.6120232875565786, Val:0.8935895496653126, Test:0.9010519025726764
Temp-Batch-loss:0.6114594756836815, Val:0.8935205108183816, Test:0.9009847179965049
Temp-Batch-loss:0.6107129544788897, Val:0.8933339390721254, Test:0.9007188206795684
Temp-Batch-loss:0.6106879194315681, Val:0.8936195615226872, Test:0.901102123974586
Temp-Batch-loss:0.6101559852421251, Val:0.8935625550062333, Test:0.901002984208185
Temp-Batch-loss:0.6093027217826105, Val:0.8937197628968536, Test:0.9010970434526917
Temp-Batch-loss:0.6087027640541722, Val:0.8937202545485841, Test:0.901060474566627
Temp-Batch-loss:0.607866114980241, Val:0.8937837429443525, Test:0.9011601922022456
Temp-Batch-loss:0.6072206658723917, Val:0.8935697293666142, Test:0.900953024768827
Temp-Batch-loss:0.6065105795614801, Val:0.8937657888637679, Test:0.9011797252989602
Temp-Batch-loss:0.6064732697214942, Val:0.8939335898682965, Test:0.90132661465794
Temp-Batch-loss:0.6052014515139388, Val:0.8937473790252358, Test:0.9010705476861636
Final Test:0.9010705476861636
model_path saved_model/MetaLearingModel_DIN_STANDALONE_STANDALONE.pth
